事業所名	業種	エリア	責任者の呼び名	推定人数	単一拠点	中間管理職	時給・シフト中心	トリガー	掲載開始日	観測メモ	出所	予定チャネル	ステータス
	珈琲屋・カフェ						はい	求人を出し続けている			Indeed		未接触
	珈琲屋・カフェ						はい	求人を出し続けている			Indeed		未接触
	珈琲屋・カフェ						はい	求人を出し続けている			Indeed		未接触
	珈琲屋・カフェ						はい	求人を出し続けている			Indeed		未接触
	珈琲屋・カフェ						はい	求人を出し続けている			Indeed		未接触
	珈琲屋・カフェ						はい	求人を出し続けている			求人ボックス		未接触
	珈琲屋・カフェ						はい	求人を出し続けている			求人ボックス		未接触
	珈琲屋・カフェ						はい	求人を出し続けている			店頭の貼り紙		未接触
	美容室・サロン						はい	求人を出し続けている			Indeed		未接触
	美容室・サロン						はい	求人を出し続けている			Indeed		未接触
	美容室・サロン						はい	求人を出し続けている			Indeed		未接触
	美容室・サロン						はい	求人を出し続けている			その他		未接触
	美容室・サロン						はい	求人を出し続けている			その他		未接触
	美容室・サロン						はい	求人を出し続けている			その他		未接触
	飲食（カフェ以外）						はい	求人を出し続けている			その他		未接触
	飲食（カフェ以外）						はい	求人を出し続けている			その他		未接触
	飲食（カフェ以外）						はい	求人を出し続けている			その他		未接触
	飲食（カフェ以外）						はい	求人を出し続けている			その他		未接触
	飲食（カフェ以外）						はい	求人を出し続けている			求人ボックス		未接触
	飲食（カフェ以外）						はい	求人を出し続けている			求人ボックス		未接触
	小規模宿・ゲストハウス						はい	求人を出し続けている			その他		未接触
	小規模宿・ゲストハウス						はい	求人を出し続けている			その他		未接触
	小規模宿・ゲストハウス						はい	求人を出し続けている			その他		未接触
	小規模宿・ゲストハウス						はい	求人を出し続けている			Indeed		未接触
	学習塾						はい	求人を出し続けている			その他		未接触
	学習塾						はい	求人を出し続けている			その他		未接触
	学習塾						はい	求人を出し続けている			その他		未接触
	フィットネス・小規模ジム						はい	求人を出し続けている			その他		未接触
	フィットネス・小規模ジム						はい	求人を出し続けている			その他		未接触
	フィットネス・小規模ジム						はい	求人を出し続けている			Indeed		未接触
